IES_ID;IES_ID_SNIESE;IES_NOMBRE_INSTIT;PRO_NOMBRE;CAN_NOMBRE;PRQ_NOMBRE;CAR_NOMBRE_CARRERA;AREA_NOMBRE;SUBAREA_NOMBRE;NIVEL;MODALIDAD;JORNADA;OFA_TITULO;OFA_ID;CUS_ID;CUS_CUPOS_NIVELACION;CUS_CUPOS_PRIMER_SEMESTRE;CUS_CUPOS_PC;CUS_TOTAL_CUPOS;DESCRIPCION_TIPO_CUPO;FOCALIZADA
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;AGROPECUARIA;AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA;AGRICULTURA;TERCER NIVEL;PRESENCIAL;VESPERTINA;;244979;350041;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ENFERMERIA;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;VESPERTINA;;247305;349216;95;0;10;105;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ALIMENTOS;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INDUSTRIA Y PRODUCCION;TERCER NIVEL;PRESENCIAL;MATUTINA;;249544;349300;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;PEDERNALES;PEDERNALES, CABECERA CANTONAL;ELECTROMECANICA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INGENIERIA Y PROFESIONES AFINES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;MATUTINA;;245801;350003;0;38;2;40;CUPOS_PRIMER_SEMESTRE;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;LABORATORIO CLINICO;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;VESPERTINA;;249371;349644;23;0;2;25;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;LABORATORIO CLINICO;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;NOCTURNA;;249644;350629;23;0;2;25;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ARTES PLASTICAS;ARTES Y HUMANIDADES;ARTES;TERCER NIVEL;PRESENCIAL;MATUTINA;;248968;349347;23;0;2;25;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;EDUCACION BASICA;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;VESPERTINA;;249866;349018;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;CHONE;CHONE;FISIOTERAPIA;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;VESPERTINA;;247273;349258;32;0;3;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ENTRENAMIENTO DEPORTIVO;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL;PRESENCIAL;VESPERTINA;;245224;349505;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;SANTO DOMINGO DE LOS TSÁCHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;DISEÑO TEXTIL E INDUMENTARIA;ARTES Y HUMANIDADES;ARTES;TERCER NIVEL;HIBRIDA;NO APLICA JORNADA;;246640;350385;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;TOSAGUA;TOSAGUA, CABECERA CANTONAL;EDUCACION BASICA;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;VESPERTINA;;246187;350521;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;GESTION HOTELERA INTERNACIONAL;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL;PRESENCIAL;MATUTINA;;249701;350507;33;0;2;35;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;EDUCACION BASICA BILINGÜE;EDUCACION;EDUCACION;TERCER NIVEL;PRESENCIAL;VESPERTINA;;247018;349963;38;0;2;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;NUTRICION Y DIETETICA;SALUD Y BIENESTAR;SALUD;TERCER NIVEL;PRESENCIAL;MATUTINA;;248699;349632;63;0;7;70;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ARTES ESCENICAS;ARTES Y HUMANIDADES;ARTES;TERCER NIVEL;PRESENCIAL;MATUTINA;;246606;350468;23;0;2;25;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;SUCRE;BAHÍA DE CARÁQUEZ;TURISMO SOSTENIBLE;SERVICIOS;SERVICIOS PERSONALES;TERCER NIVEL;PRESENCIAL;VESPERTINA;;248096;350235;28;0;2;30;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;AGROPECUARIA;AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA;AGRICULTURA;TERCER NIVEL;PRESENCIAL;MATUTINA;;246007;349129;72;0;8;80;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;ARQUITECTURA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;ARQUITECTURA Y CONSTRUCCION;TERCER NIVEL;PRESENCIAL;MATUTINA;;248988;350753;85;0;5;90;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;EL CARMEN;EL CARMEN;ELECTROMECANICA;INGENIERIA, INDUSTRIA Y CONSTRUCCION;INGENIERIA Y PROFESIONES AFINES;TERCER NIVEL TECNOLÓGICO SUPERIOR;PRESENCIAL;NOCTURNA;;245845;349902;0;36;4;40;CUPOS_PRIMER_SEMESTRE;N
